<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.27	20:40:00	736.19	739.38	735.42	738.59	293	0	20
2025.12.27	20:50:00	738.44	745.14	737.32	744.79	295	0	20
2025.12.27	21:00:00	744.84	746.00	742.26	744.49	297	0	20
2025.12.27	21:10:00	744.50	746.81	742.03	744.41	292	0	20
2025.12.27	21:20:00	743.98	744.63	736.10	736.41	294	0	20
2025.12.27	21:30:00	736.57	736.57	731.48	732.12	294	0	20
2025.12.27	21:40:00	732.54	733.44	727.60	727.94	294	0	20
2025.12.27	21:50:00	727.99	728.79	725.00	728.25	291	0	20
2025.12.27	22:00:00	728.22	732.27	727.49	728.28	295	0	20
2025.12.27	22:10:00	728.50	729.94	727.34	728.09	294	0	20
2025.12.27	22:20:00	728.15	732.04	725.18	725.37	295	0	20
2025.12.27	22:30:00	725.15	728.06	722.38	728.06	298	0	20
2025.12.27	22:40:00	728.18	729.32	721.96	724.05	296	0	20
2025.12.27	22:50:00	723.89	725.18	721.67	722.85	295	0	20
2025.12.27	23:00:00	722.91	722.91	719.16	719.78	295	0	20
2025.12.27	23:10:00	719.55	722.76	718.56	722.76	294	0	20
2025.12.27	23:20:00	722.96	723.35	719.91	719.93	293	0	20
2025.12.27	23:30:00	719.65	722.46	717.05	721.52	294	0	20
2025.12.27	23:40:00	721.43	722.18	719.01	719.46	293	0	20
2025.12.27	23:50:00	719.39	722.94	719.39	722.50	297	0	20
2025.12.28	00:00:00	722.61	724.14	719.03	719.23	294	0	20
2025.12.28	00:10:00	719.14	721.99	717.71	720.36	291	0	20
2025.12.28	00:20:00	720.22	724.07	720.22	721.17	292	0	20
2025.12.28	00:30:00	721.07	721.91	718.07	720.81	292	0	20
2025.12.28	00:40:00	720.90	724.70	719.65	724.47	294	0	20
2025.12.28	00:50:00	724.92	725.01	716.22	719.15	292	0	20
2025.12.28	01:00:00	719.27	719.40	716.29	718.73	292	0	20
2025.12.28	01:10:00	718.63	721.19	715.95	717.21	292	0	20
2025.12.28	01:20:00	717.25	721.01	715.55	716.03	293	0	20
2025.12.28	01:30:00	716.14	716.14	710.35	713.23	288	0	20
2025.12.28	01:40:00	713.06	714.69	711.80	713.38	295	0	20
2025.12.28	01:50:00	713.34	716.37	711.86	712.50	295	0	20
2025.12.28	02:00:00	712.29	712.60	709.80	711.68	293	0	20
2025.12.28	02:10:00	711.55	715.48	710.38	712.14	296	0	20
2025.12.28	02:20:00	712.12	713.72	710.73	712.25	290	0	20
2025.12.28	02:30:00	712.22	713.98	706.56	706.81	294	0	20
2025.12.28	02:40:00	706.66	709.56	706.45	708.64	292	0	20
2025.12.28	02:50:00	708.92	713.82	708.77	710.93	291	0	20
2025.12.28	03:00:00	711.13	712.33	709.05	709.94	291	0	20
2025.12.28	03:10:00	710.14	710.14	704.80	705.90	288	0	20
2025.12.28	03:20:00	706.05	709.19	706.04	708.50	292	0	20
2025.12.28	03:30:00	708.52	708.68	704.66	704.69	295	0	20
2025.12.28	03:40:00	704.68	706.61	703.56	704.44	294	0	20
2025.12.28	03:50:00	704.38	705.91	702.17	702.65	293	0	20
2025.12.28	04:00:00	702.86	703.75	698.71	699.44	295	0	20
2025.12.28	04:10:00	699.62	699.64	691.33	692.74	291	0	20
2025.12.28	04:20:00	692.52	694.95	689.20	689.57	295	0	20
2025.12.28	04:30:00	689.60	690.71	687.67	689.11	292	0	20
2025.12.28	04:40:00	689.49	691.67	688.96	689.20	296	0	20
2025.12.28	04:50:00	689.43	691.19	688.08	690.65	291	0	20
2025.12.28	05:00:00	690.46	690.95	686.90	690.55	289	0	20
2025.12.28	05:10:00	690.50	691.39	688.79	689.33	294	0	20
2025.12.28	05:20:00	689.50	689.50	685.08	685.28	292	0	20
2025.12.28	05:30:00	685.14	691.04	685.14	690.19	292	0	20
2025.12.28	05:40:00	690.43	690.65	688.21	690.31	292	0	20
2025.12.28	05:50:00	690.09	692.66	689.27	691.57	290	0	20
2025.12.28	06:00:00	691.50	694.92	689.93	691.65	292	0	20
2025.12.28	06:10:00	691.87	696.79	690.65	696.51	291	0	20
2025.12.28	06:20:00	696.59	698.62	695.60	697.41	295	0	20
2025.12.28	06:30:00	697.72	700.17	696.76	697.46	295	0	20
2025.12.28	06:40:00	697.40	703.78	697.20	702.56	292	0	20
2025.12.28	06:50:00	702.50	703.97	697.42	698.43	295	0	20
2025.12.28	07:00:00	698.64	699.36	694.05	694.41	296	0	20
2025.12.28	07:10:00	694.47	696.44	693.35	695.62	296	0	20
2025.12.28	07:20:00	695.35	696.16	692.25	694.98	293	0	20
2025.12.28	07:30:00	695.10	695.75	688.33	689.05	296	0	20
2025.12.28	07:40:00	689.13	696.14	689.13	693.24	296	0	20
2025.12.28	07:50:00	693.14	697.29	691.79	695.15	292	0	20
2025.12.28	08:00:00	695.29	699.52	694.27	699.52	298	0	20
2025.12.28	08:10:00	699.45	702.06	696.37	698.73	294	0	20
2025.12.28	08:20:00	698.98	700.87	696.69	700.67	291	0	20
2025.12.28	08:30:00	700.78	706.54	700.38	706.54	292	0	20
2025.12.28	08:40:00	706.50	706.63	702.04	704.90	293	0	20
2025.12.28	08:50:00	705.07	706.93	699.62	700.73	295	0	20
2025.12.28	09:00:00	700.90	702.04	699.06	699.52	293	0	20
2025.12.28	09:10:00	699.38	701.20	694.83	694.83	291	0	20
2025.12.28	09:20:00	694.75	696.24	692.28	692.28	295	0	20
2025.12.28	09:30:00	692.24	692.74	686.21	687.01	293	0	20
2025.12.28	09:40:00	686.81	689.65	685.45	689.46	294	0	20
2025.12.28	09:50:00	689.34	690.78	687.21	688.31	296	0	20
2025.12.28	10:00:00	688.19	696.28	688.19	696.12	289	0	20
2025.12.28	10:10:00	696.22	702.04	695.59	699.99	294	0	20
2025.12.28	10:20:00	699.88	706.10	699.70	705.44	296	0	20
2025.12.28	10:30:00	705.37	706.79	702.88	706.55	299	0	20
2025.12.28	10:40:00	706.66	709.59	704.93	707.71	296	0	20
2025.12.28	10:50:00	707.53	708.25	700.87	701.36	294	0	20
2025.12.28	11:00:00	701.44	702.28	696.64	696.83	289	0	20
2025.12.28	11:10:00	696.98	699.26	695.36	699.26	289	0	20
2025.12.28	11:20:00	699.30	704.64	698.32	703.77	294	0	20
2025.12.28	11:30:00	703.76	706.38	702.13	705.09	292	0	20
2025.12.28	11:40:00	705.01	706.69	702.41	702.82	291	0	20
2025.12.28	11:50:00	702.72	705.42	702.02	704.19	295	0	20
2025.12.28	12:00:00	703.88	708.93	703.65	707.64	293	0	20
2025.12.28	12:10:00	707.72	708.04	705.30	705.75	288	0	20
2025.12.28	12:20:00	705.91	709.17	705.91	706.94	295	0	20
2025.12.28	12:30:00	706.88	708.57	704.06	704.60	296	0	20
2025.12.28	12:40:00	704.57	709.81	704.33	706.20	291	0	20
2025.12.28	12:50:00	706.13	706.67	701.07	701.92	294	0	20
2025.12.28	13:00:00	701.52	702.95	698.89	699.25	296	0	20
2025.12.28	13:10:00	699.31	702.56	699.13	700.26	289	0	20
2025.12.28	13:20:00	700.13	701.23	697.63	700.10	297	0	20
2025.12.28	13:30:00	700.07	700.72	696.48	698.64	292	0	20
2025.12.28	13:40:00	698.65	699.59	694.43	694.93	294	0	20
2025.12.28	13:50:00	694.67	696.65	692.61	696.46	298	0	20
2025.12.28	14:00:00	696.32	699.53	695.92	698.46	292	0	20
2025.12.28	14:10:00	698.31	698.82	694.74	695.63	294	0	20
2025.12.28	14:20:00	695.63	696.68	690.22	692.05	293	0	20
2025.12.28	14:30:00	692.12	694.65	690.68	692.48	295	0	20
2025.12.28	14:40:00	692.54	697.01	692.35	695.32	295	0	20
2025.12.28	14:50:00	695.17	697.24	693.42	695.81	284	0	20
2025.12.28	15:00:00	696.08	696.49	693.78	694.20	293	0	20
2025.12.28	15:10:00	693.86	698.36	693.86	696.49	297	0	20
2025.12.28	15:20:00	696.28	696.46	691.68	692.12	292	0	20
2025.12.28	15:30:00	691.91	695.60	691.57	693.41	290	0	20
2025.12.28	15:40:00	693.72	697.18	692.28	696.55	296	0	20
2025.12.28	15:50:00	696.71	698.80	696.51	698.74	294	0	20
2025.12.28	16:00:00	698.85	701.87	697.93	697.93	293	0	20
2025.12.28	16:10:00	697.33	702.42	696.60	702.36	296	0	20
2025.12.28	16:20:00	702.11	702.98	699.60	700.99	294	0	20
2025.12.28	16:30:00	701.05	701.16	693.60	695.03	290	0	20
2025.12.28	16:40:00	694.83	696.66	692.75	693.43	292	0	20
2025.12.28	16:50:00	693.23	693.65	688.48	688.67	291	0	20
2025.12.28	17:00:00	688.71	692.59	685.56	685.56	293	0	20
